id,x,y
1,20833.3333,17100.0
2,20900.0,17066.6667
3,21300.0,13016.6667
4,21600.0,14150.0
5,21600.0,14966.6667
6,21600.0,16500.0
7,22183.3333,13133.3333
8,22583.3333,14300.0
9,22683.3333,12716.6667
10,23616.6667,15866.6667
11,23700.0,15933.3333
12,23883.3333,14533.3333
13,24166.6667,13250.0
14,25149.1667,12365.8333
15,26133.3333,14500.0
16,26150.0,10550.0
17,26283.3333,12766.6667
18,26433.3333,13433.3333
19,26550.0,13850.0
20,26733.3333,11683.3333
21,27026.1111,13051.9444
22,27096.1111,13415.8333
23,27153.6111,13203.3333
24,27166.6667,9833.3333
25,27233.3333,10450.0
26,27233.3333,11783.3333
27,27266.6667,10383.3333
28,27433.3333,12400.0
29,27462.5,12992.2222
